"Pos","Driver","Nationality","Team","Points"
"42","Ken  Downing","British","Connaught-Francis","0"
"43","Cliff Griffith","American","Kurtis Kraft-Novi","0"
"44","Helmut Niedermayr","German","AFM-BMW","0"
"45","Prince Bira","Thai","Gordini","0"
"46","Peter  Whitehead","British","Ferrari","0"
"47","Louis  Rosier","French","Ferrari","0"
"48","Johnnie  Parsons","American","Kurtis Kraft-Novi","0"
"49","Yves Giraud Cabantous","French","HWM-Alta","0"
"50","Eitel Cantoni","Uruguayan","Maserati","0"
"51","Hans Klenk","German","Veritas","0"
"52","Jack McGrath","American","Kurtis Kraft-Novi","0"
"53","Ernst Klodwig","German","BMW","0"
"54","Franco  Comotti","Italian","Ferrari","0"
"55","Jim Rigsby","American","Watson-Offenhauser","0"
"56","Graham Whitehead","British","Alta","0"
"57","Joe James","American","Kurtis Kraft-Novi","0"
"58","Arthur Legat","Belgian","Veritas","0"
"59","Bill Schindler","American","Stevens-Offenhauser","0"
"60","Robert O'Brien","American","Simca-Gordini-Gordini","0"
"61","Tony Gaze","Australian","HWM-Alta","0"
"62","George Fonder","American","Sherman-Offenhauser","0"
"63","Kenneth McAlpine","British","Connaught-Francis","0"
"64","Eddie Johnson","American","Trevis-Offenhauser","0"
"65","Harry Schell","American","Maserati","0"
"66","Gino Bianco","Brazilian","Maserati","0"
"67","Chuck  Stevenson","American","Kurtis Kraft-Novi","0"
"68","Henry Banks","American","Lesovsky-Offenhauser","0"
"69","Manny Ayulo","American","Lesovsky-Offenhauser","0"
"70","Tony Crook","British","Frazer-Nash-Bristol","0"
"71","Johnny McDowell","American","Kurtis Kraft-Novi","0"
"72","Stirling Moss","British","Connaught-Francis","0"
"73","Dries van der Lof","Dutch","HWM-Alta","0"
"74","Willi Heeks","German","AFM-BMW","0"
"75","Robin  Montgomerie-Charrington","British","Aston-Butterworth","0"
"76","Adolf Brudes","German","Veritas","0"
"77","Marcel  Balsa","French","BMW","0"
"78","Jan Flinterman","Dutch","Maserati","0"
"79","George  Abecassis","British","HWM-Alta","0"
"80","Bernd Nacke","German","BMW","0"
"81","Hans Von Stuck","German","Ferrari","0"
"82","Piero Carini","Italian","Ferrari","0"
"83","Rudolf Krause","German","BMW","0"
"84","Franco  Rol","Italian","Maserati","0"
"85","Max de Terra","Swiss","Simca-Gordini-Gordini","0"
"86","Rudolf Schoeller","Swiss","Ferrari","0"
"87","Bill  Aston","British","Aston-Butterworth","0"
"88","Spider Webb","American","Bromme-Offenhauser","0"
"89","Rodger Ward","American","Kurtis Kraft-Novi","0"
"90","Elie Bayol","French","Osca","0"
"91","Paul  Pietsch","German","Veritas","0"
"92","Tony  Bettenhausen","American","Deidt-Offenhauser","0"
"93","Duke Nalon","American","Kurtis Kraft-Novi","0"
"94","Bob Sweikert","American","Kurtis Kraft-Novi","0"
"95","Alberto  Crespo","Argentinean","Maserati","0"
"96","Fred Agabashian","American","Kurtis Kraft-Novi","0"
"97","Theo Helfrich","German","Veritas","0"
"98","Gene Hartley","American","Kurtis Kraft-Novi","0"
"99","David  Murray","French","Cooper-Bristol","0"
"100","Josef Peters","German","Veritas","0"
"101","Bob Scott","American","Kurtis Kraft-Novi","0"
"102","Chet  Miller","American","Kurtis Kraft-Novi","0"
"103","Andy Linden","American","Kurtis Kraft-Novi","0"
"104","Bobby Ball","American","Stevens-Offenhauser","0"
"105","Piero Dusio","Italian","Cisitalia-BPM","0"
